product name,New Price,Old Price,links,brand
Samsung Galaxy A36 5G - 256GB - 8GB RAM - White,"18,100EGP","20,350EGP",https://www.mobilaty.com/en/samsung-galaxy-a36-5g-256gb-8gb-ram-white,Samsung
Samsung Galaxy A36 5G - 256GB - 8GB RAM - Black,"18,100EGP","20,350EGP",https://www.mobilaty.com/en/samsung-galaxy-a36-5g-256gb-8gb-ram-black,Samsung
Samsung Galaxy A07 - 128GB - 4GB RAM - Black,"5,700EGP","6,599EGP",https://www.mobilaty.com/en/samsung-galaxy-a07-128gb-4gb-ram-black,Samsung
Samsung Galaxy A56 5G - 256GB - 12GB RAM - Awesome Light Gray,"24,850EGP","27,999EGP",https://www.mobilaty.com/en/samsung-galaxy-a56-5g-256gb-12-gb-ram-awesome-light-gray-1750323150,Samsung
Samsung Galaxy M55 5G - 128GB - 8GB RAM - Black,"16,660EGP","19,560EGP",https://www.mobilaty.com/en/samsung-galaxy-m55-5g-128gb-8gb-ram-black,Samsung
Redmi Note 14 Pro+ 5G - 256GB - 12GB RAM - Midnight Black,"21,999EGP","25,350EGP",https://www.mobilaty.com/en/redmi-note-14-pro-5g-256gb-12gb-ram-midnight-black,Xiaomi
Redmi Note 14 4G - 128GB - 6GB RAM - Midnight Black,"8,999EGP","10,275EGP",https://www.mobilaty.com/en/redmi-note-14-4g-128gb-6gb-ram-midnight-black,Xiaomi
Samsung Galaxy A06 - 128GB - 4GB RAM - Black,"5,540EGP","6,300EGP",https://www.mobilaty.com/en/samsung-galaxy-a06-128gb-4gb-ram-black,Samsung
Samsung Galaxy A07 - 128GB - 6GB RAM - Black,"6,350EGP","7,399EGP",https://www.mobilaty.com/en/samsung-galaxy-a07-128gb-6gb-ram-black,Samsung
Samsung Galaxy A56 5G - 256GB - 12GB RAM - Awesome Pink,"24,850EGP","27,999EGP",https://www.mobilaty.com/en/samsung-galaxy-a56-5g-256gb-12-gb-ram-awesome-pink,Samsung
Samsung Galaxy A06 - 128GB - 6GB RAM - Black,"6,180EGP","7,050EGP",https://www.mobilaty.com/en/samsung-galaxy-a06-128gb-6gb-ram-black,Samsung
Redmi Note 14 Pro - 512GB - 12GB RAM - Midnight Black,"17,499EGP","20,220EGP",https://www.mobilaty.com/en/redmi-note-14-pro-512gb-12gb-ram-midnight-black,Xiaomi
Redmi Note 14 4G - 128GB - 8GB RAM - Midnight Black,"9,299EGP","10,850EGP",https://www.mobilaty.com/en/redmi-note-14-4g-128gb-8gb-ram-midnight-black,Xiaomi
Redmi Note 14 Pro - 512GB - 12GB RAM - Ocean Blue,"17,499EGP","20,220EGP",https://www.mobilaty.com/en/redmi-note-14-pro-512gb-12gb-ram-ocean-blue,Xiaomi
Samsung Galaxy A36 5G - 128GB - 8GB RAM - Black,"16,350EGP","18,380EGP",https://www.mobilaty.com/en/samsung-galaxy-a36-5g-128gb-8gb-ram-black,Samsung
Samsung Galaxy A06 - 64GB - 4GB RAM - Light Blue,"4,750EGP","5,400EGP",https://www.mobilaty.com/en/samsung-galaxy-a06-64gb-4gb-ram-light-blue,Samsung
Samsung Galaxy A06 - 128GB - 6GB RAM - Gold,"6,180EGP","7,050EGP",https://www.mobilaty.com/en/samsung-galaxy-a06-128gb-6gb-ram-gold,Samsung
Samsung Galaxy A06 - 128GB - 6GB RAM - Light Blue,"6,180EGP","7,050EGP",https://www.mobilaty.com/en/samsung-galaxy-a06-128gb-6gb-ram-light-blue,Samsung
